id,title,abstract
HRCS22_00936,Developing a Digital Health-enabled Intervention to tackle Multimorbidity in Primary care in India,"More than a quarter of adult patients attending primary care facilities in India have multimorbidity. However, national health programmes are disease-centric, including the ongoing National Programme for Cancer, Diabetes, Cardiovascular Diseases and Stroke (NPCDCS), which caters to large population groups in primary care for a range of chronic conditions. The specific objectives of the proposed research work in the Indian state of Tripura are: a) To discover major multimorbidity patterns relevant for NPCDCS in primary care; and b) To develop a digital health-enabled intervention, targeting major multimorbidity patterns, relevant for NPCDCS, to improve targeting and delivery of clinical services in primary care. A digital tool- comprising clinical decision support and electronic health record- is deployed in 40 primary care facilities in Tripura to aid the healthcare team in managing six chronic conditions - hypertension, diabetes, dyslipidaemia, chronic obstructive pulmonary diseases, alcoholism and tobacco use- for the past 29 months. In such patient's record, information on the presence of eight additional chronic conditions is also routinely recorded. This dataset will be used for discovering multimorbidity patterns. Using these inputs, and expert consultations, we will develop a digital health-enabled intervention for the management of multimorbidity following the MRC framework for developing complex interventions. To guide intervention development, a theory of change will be constructed, covering the building blocks of the health system and other contextual factors.  Using mixed methods, we will develop a prototype intervention and pilot it in two health facilities for assessing feasibility, developing mitigation strategies for barriers, identifying potential indicators for the process of care and patient-level outcomes, sample size and recruitment feasibility for planning an application for controlled evaluation of the intervention developed in a future trial."
HRCS22_01305,Cancer Epidemiology,"We will build on our work showing that the malignant and non-malignant consequences of oncogenic infections (including HIV) are a major cause of morbidity and mortality in Uganda and that lifestyle risk-factors such as tobacco are currently relatively less important in this setting. We will i) examine the transmission dynamics of oncogenic infections, ii) initiate preventive interventions and, iii) conduct aetiological research on specific cancers. For example, the determinants and immune correlates of suppression and transmission of Kaposi’s sarcoma associated herpesvirus (which exists at higher prevalence in our rural cohort than has been reported anywhere else in the world) will be studied. Working within our population platforms, we will: i) examine the impact of a national HPV vaccination scheme on circulating subtypes of HPV; ii) assess the feasibility of H. pylori eradication in a population in which infection is ubiquitous; iii), conduct a feasibility study of Hepatitis C Virus cure and iv) develop further work on understanding liver disease and progression of chronic infection with Hepatitis B virus. We will also seek external funding to conduct a randomised-controlled trial of low-technology methods (a package of post-harvest measures) in combination with a bio-control approach to reduce aflatoxin levels, which we have previously shown to be an important exposure. Comparative research on the epidemiology and aetiology of haematological malignancies in Uganda and in the UK will be further developed, in conjunction with studies of the HIV-related cancers Kaposi’s sarcoma and conjunctival carcinoma."
HRCS22_11821,Skills Developments Grant - Travel award - Advances in Ewing Ssarcoma Research conference 14 October 2022,Oral presentation: Autoantibody Profiling in Ewing Sarcoma Patients
HRCS22_13206,Improving care for Birt-Hogg-Dubé syndrome patients: clinical and genetic analysis of a unique cohort.,"We propose a clinical PhD project focusing on the risk of malignancies in Birt-Hogg-Dubé syndrome (BHD) and increasing awareness of BHD. Although the knowledge on the main features of BHD (skin, lungs, kidneys) has increased over the years, many unanswered questions remain that are highly relevant for diagnosis and management of BHD patients. Our large cohort of (>300) BHD patients allows us to study clinical aspects of BHD in detail. Furthermore, the size of our cohort and the frequency at which new families are diagnosed, indicates that BHD is an underdiagnosed disease. These issues form the basis of our two aims: 1. to evaluate the (individualized) risks for malignancies in patients with BHD, and 2. to increase awareness of BHD among other physicians. Our project is subdivided into four objectives. In the first objective, we will re-evaluate the lifetime risk for renal cell carcinoma (RCC) in patients with BHD along with possible additional risk factors for RCC, such as genotype, personal history of pneumothorax or fibrofolliculomas, renal cysts, family history of RCC, and lifestyle. In the second objective, we will focus on malignancies other than RCC, and compare their prevalence in patients with BHD, with their family members without BHD, and with general Dutch cancer statistics in a retrospective study. The results of these two objectives will provide important information for patients and physicians, and they will be used to re-evaluate the BHD guidelines. In the third and fourth objective, we aim to develop a website and an information leaflet for all Dutch pulmonologists, dermatologists and urologists to increase awareness of BHD among other physicians. The website will also provide patients with a source of information about BHD, and can be used to obtain informed consent for research."
HRCS22_13631,Defining the molecular landscape of paediatric and adolescent acute leukaemia in Tanzania,"The treatment of childhood blood cancers has improved hugely over the past few decades, and most cases of leukaemia in young people in the UK and Ireland are now cured. Much of this improvement has come from research into the genetic mutations in leukaemia cells, which helps determine how each patient with blood cancer should best be treated. Similar improvements have not been possible in low-income countries, mainly due to lack of financial resources. However scientific advances mean that it is now relatively quick and inexpensive to do comprehensive mutational testing known as ‘next-generation sequencing’. There is no longer a financial barrier to use this technology in places like Tanzania. We will use this technology to analyse mutations in leukaemia cells from children in Tanzania. This extends a long-standing collaboration with Children’s Health Ireland in Dublin, who have helped to support the treatment of Tanzanian children with cancer for over a decade. These tests will reveal the genetic mutations present in leukaemia cells of African patients for the first time. We will also use a scientific approach called ‘systems biology’ to investigate how these mutations drive cancer cells to grow and resist treatment. Systems biology methods use computer models to analyse the internal molecular wiring of leukaemia cells, allowing more efficient prediction of what treatments work best for each patient. This research will help us to accurately adapt therapies and to improve how African children with leukaemia are treated. We also predict that our results will flag cases that need specific ‘designer’ anti-leukaemia drugs, including less expensive medications that would be cost-effective in a lower income setting. This project will be a true collaboration with our colleagues in Tanzania and will build the long-term foundation for the clinical and scientific teamwork needed to overcome the global challenge of childhood cancer."
HRCS22_13649,"Investigating the interplay between early life factors, the genome and childhood cancer risk",The causes of childhood cancer are still largely unknown. Dr Natália Spitz Toledo Dias and her team will investigate whether environmental exposures during a baby’s life in the womb can cause changes to gene activity that may be associated with childhood cancer risk. The ultimate aim is to provide an evidence base for cancer prevention and discover the cancer’s molecular origins which could serve for targeted therapy. Dr Spitz Toledo Dias’ research is funded by Children with
HRCS22_13690,Contribution of fatty acid metabolism to the advanced and metastatic phenotype of pancreatic cancer,"Pancreatic Ductal Adenocarcinoma (PDAC) is an extremely lethal disease due to the current lack of effective therapies and extreme malignancy of the tumours once diagnosed. We have recently shown that PDAC is hierarchically organised with Cancer Stem Cells (CSCs) constituting a major source for disease progression, including metastasis and relapse following chemotherapy. Interestingly, increased lipid scavenging and aberrant fatty acid metabolism have been linked to pancreatic tumour progression and poor prognosis in PDAC patients. We have recently reported that, in contrast to differentiated tumour cells, pancreatic CSCs are highly dependent on mitochondrial oxidative phosphorylation (OXPHOS, Sancho et al, Cell Metabolism 2015). This metabolism confers the ability of using a wider range of substrates able to feed the TCA cycle, including fatty acids. Now, our preliminary results indicate that: 1) CSCs store and metabolise fatty acids for full tumorigenic capacity; 2) Energy deprivation promotes a highly dedifferentiated and aggressive phenotype through PPARdelta. We hypothesise that CSCs are able to modulate lipid storage/utilisation conferring them with high resilience and plasticity to adapt to the changing and challenging conditions during tumour progression and metastasis. Thus, in the present project we aim to analyse the specific role of fatty acid metabolism in the advanced and metastatic phenotype of PDAC by addressing the following three aims: 1. To study the role of lipid uptake and storage in CSCs to cope with situations of metabolic stress. 2. To investigate the role of PPARd in the acquisition of an advanced/metastatic phenotype in pancreatic cancer 3. To validate new therapeutic strategies targeting lipid metabolism Our ultimate aim is to identify and validate most effective CSC-targeting strategies with great translational potential, to improve the still miserable prognosis of PDAC patients."
HRCS22_13825,Improving the prediction of endometrial cancer risk using genetics,"Endometrial cancer (cancer of the uterine lining) is the most commonly diagnosed gynaecological cancer in developed countries, including Australia. Its incidence is rapidly increasing due to the ageing population and rising rates of obesity, the strongest known risk factor for endometrial cancer. This is a global problem, with a recent study reporting increased incidence rates of endometrial cancer in 26 of 43 countries studied. Unlike many cancer types, endometrial cancer-specific mortality has increased approximately 2% each year since 2008, in part due to its increased incidence.   Whilst the link between obesity and endometrial cancer risk is well-recognised, the mechanism for how this occurs is unknown. Understanding which characteristics of obesity are responsible for this relationship would provide vital information not only for informing endometrial cancer risk but also understanding the biology of this disease. How to use the information from obesity and other risk factors effectively to identify women at very high risk of endometrial cancer is not available. Harnessing these data would provide avenues for personalised risk prediction and targeted prevention interventions, including bariatric surgery.   Our research team leads the world’s largest genetic study of endometrial cancer through co-ordination of the Endometrial Cancer Association Consortium and identifying several genetic variants associated with endometrial cancer risk by genome-wide association study. We will use these genetic data to explore the relationship between endometrial cancer and specific obesity-related traits. We will construct endometrial cancer genetic risk scores, integrating genetic data from endometrial cancer risk factors to improve predictive capacity. Finally, we will assess the effect of intervention strategies on reducing endometrial cancer risk, providing essential data for clinical implementation of genetic risk scores for endometrial cancer prevention."
HRCS22_14116,IMAXT : imaging and molecular annotation of xenografts and tumors,"We propose to develop an entirely new way for scientists and physicians to understand cancer and predict its clinical behaviour. Our integrated approach will produce faithful three-dimensional representations of tumours and their host environments, wherein each cell is identified and molecularly annotated. These models will be presented in an interactive, virtual reality (VR) framework. Investigators will literally be able to walk inside a tumour, visualize the arrangement of tumour cells in relation to each environmental cell type, and perform interactive comparative molecular analyses in real time. We call this project IMAXT, Imaging and Molecular Annotation of Xenografts and Tumours. This approach harnesses our innate pattern recognition capabilities while maintaining the statistical rigour of molecular measurements. We wish not only to provide research tools that allow us to better understand how cancer develops and responds to therapy but also to transform the way that patients are diagnosed and treatments planned. Though this approach will be applicable to nearly all tumour types, we will begin in breast cancer, where both inter- and intra-individual heterogeneity are apparent and inform treatment decisions and prognosis."
HRCS22_14389,Unveiling mechanisms of tumor formation linked to BRCA2 mutation,"Inactivating germline mutations affecting a single copy of BRCA2 are associated with an increased risk of breast and ovarian cancer. However, what drives tumorigenesis in carriers of heterozygous BRCA2 mutations remains elusive. Moreover, BRCA2 deficient breast tumors lack a clear pathological phenotype that distinguishes them from sporadic cancers so the identification of a molecular signature of tumor formation associated with BRCA2 deficiency remains a challenge. Over recent years, many mutational signatures have been generated corresponding to different types of tumors including BRCA1/2 associated breast cancer. However, a defective BRCA2 gives rise to at least five mutational signatures and although they have been associated with homologous recombination (HR) deficiency, not all HR deficient genes lead to the same outcome. Furthermore, BRCA1 and BRCA2-mutated tumors can be discriminated against using these mutational signatures suggesting that mechanisms specific to each gene might be acting as potential cancer drivers. This is perhaps not surprising given the number of functions the two proteins exert in cells. As these different functions are mapped to distinct regions in the protein, we argue that different mutations in a single gene could reveal different mechanisms of tumor formation. Thus, by focusing on BRCA2-mutated tumors bearing a common pathogenic mutation we may unveil new mechanisms of tumor formation that would otherwise remain “hidden” in the population of BRCA2-mutated tumors. In addition, by recreating these mutations in relevant breast epithelial cells in heterozygosis we will be able to confirm which of the deregulated pathways observed in tumors are specifically due to BRCA2 mutation. Our preliminary results reveal a substitution signature prevalent in tumors bearing a specific pathogenic mutation and a deregulated pathway that was confirmed in our heterozygous cell system expressing the same mutation thus supporting this hypothesis. If confirmed, this project will have important clinical implications for prevention and treatment."
